y,p_raw,p_cal
1,0.5622237,0.37180998563634055
0,0.12303914,0.07106805638832583
0,0.76548034,0.5835704829436292
0,0.39736143,0.2422331615569678
0,0.45895615,0.2874730540215706
0,0.31673515,0.1875434552897847
0,0.22950445,0.13299368576223936
0,0.44982326,0.28055122039064706
0,0.5994039,0.40533672698325773
1,0.6742205,0.47912098482696813
0,0.15756536,0.0907315084157381
1,0.6826554,0.48804310942573687
0,0.16665204,0.09596307750902933
0,0.66166115,0.4660789125448319
0,0.7056291,0.5130437602893981
0,0.5765923,0.38454428925505013
0,0.7823494,0.6050536365115105
0,0.7327616,0.5439870075732366
0,0.33870068,0.20199023718404022
0,0.28509307,0.16726493113189722
0,0.33179536,0.1974143682547339
1,0.7823287,0.6050268166657625
0,0.69113785,0.4971523115869463
1,0.7239855,0.5338015771753194
0,0.33339894,0.19847414561585447
0,0.21920379,0.1268117015937316
0,0.055463642,0.03307855840246665
1,0.30859098,0.18226586011826204
0,0.41115502,0.2520803123832799
1,0.81906104,0.6546714611563778
0,0.25968054,0.15139740010835337
0,0.6229974,0.42763335361381705
0,0.09843389,0.05720902186996034
0,0.23987003,0.13926471969315768
0,0.2745465,0.16063649505995076
0,0.2224289,0.12874206217555462
0,0.12071802,0.06975634077801217
0,0.2980106,0.17547063398366253
0,0.08489789,0.04961377137626833
1,0.67798275,0.48308405716892683
0,0.26996952,0.15777918631585558
0,0.30890617,0.18246933996611692
1,0.6803362,0.485576580059441
0,0.72135895,0.5307867687714832
1,0.55927414,0.36922920614135274
0,0.25693116,0.14970158721138138
0,0.09599459,0.05583939861902807
0,0.4645414,0.2917451939327642
1,0.7760859,0.596986294825146
0,0.45922622,0.2876789403051614
1,0.79400635,0.620364875233734
0,0.83644396,0.6796956019487737
1,0.53865457,0.3514921842665103
0,0.6940456,0.5003072286773979
0,0.38669583,0.23472396881125726
0,0.18791068,0.10831286638445999
0,0.35496783,0.21289865472034003
0,0.589085,0.3958412542156276
0,0.44778696,0.2790185426370979
